method,id,time
asym,8,1
asym,8,1
asym,27,1
asym,27,1
asym,23,1
asym,23,1
asym,13,1
asym,13,1
asym,21,1
asym,21,1
asym,30,1
asym,30,1
asym,18,1
asym,18,1
asym,15,1
asym,15,1
asym,4,1
asym,4,1
asym,35,1
asym,35,1
asym,11,1
asym,11,1
asym,9,7
asym,9,1
asym,1,1
asym,1,1
asym,7,1
asym,7,255
asym,19,255
asym,19,1
asym,33,1
asym,33,1
asym,39,1
asym,39,1
asym,14,15
asym,14,1
asym,16,1
asym,16,127
asym,32,127
asym,32,1
asym,24,1
asym,24,511
asym,22,127
asym,22,1
asym,7,1
asym,7,1
asym,26,255
asym,26,1
asym,33,31
asym,33,1
asym,31,255
asym,31,1
asym,29,1
asym,29,511
asym,36,1
asym,36,511
asym,5,511
asym,5,1
asym,2,1
asym,2,511
asym,17,511
asym,17,1
asym,10,255
asym,10,127
asym,8,511
asym,8,1
asym,0,511
asym,0,1
asym,15,1
asym,15,1
asym,12,1
asym,12,511
asym,38,511
asym,38,1
asym,27,255
asym,27,1
asym,18,127
asym,18,127
asym,20,127
asym,20,511
asym,11,63
asym,11,31
asym,23,31
asym,23,1
asym,32,255
asym,32,1
asym,13,511
asym,13,1
asym,34,511
asym,34,511
asym,30,1
asym,30,127
asym,16,63
asym,16,255
asym,26,1
asym,26,1
asym,39,1
asym,39,1
asym,22,1
asym,22,1
asym,9,1
asym,9,1
asym,14,1
asym,14,63
asym,28,1023
asym,28,1
asym,4,255
asym,4,1
asym,37,1023
asym,37,1
asym,33,1
asym,33,1
asym,6,1023
asym,6,255
asym,0,1
asym,0,63
asym,21,511
asym,21,1
asym,27,31
asym,27,1
asym,25,1023
asym,25,127
asym,12,255
asym,12,63
asym,35,511
asym,35,1
asym,29,127
asym,29,1
asym,23,1
asym,23,1
asym,31,511
asym,31,1
asym,38,1
asym,38,127
asym,19,127
asym,19,511
asym,7,511
asym,7,1
asym,36,1
asym,36,127
asym,10,1
asym,10,255
asym,15,1
asym,15,255
asym,4,1
asym,4,1
asym,24,511
asym,24,1
asym,34,127
asym,34,127
asym,6,127
asym,6,1
asym,22,255
asym,22,127
asym,32,255
asym,32,127
asym,30,1
asym,30,1
asym,28,63
asym,28,127
asym,26,63
asym,26,1
asym,13,511
asym,13,1
asym,11,63
asym,11,1
