method,id,time
asym,10,1
asym,10,1
asym,14,1
asym,14,1
asym,0,1
asym,0,1
asym,12,1
asym,12,1
asym,17,1
asym,17,1
asym,3,1
asym,3,1
asym,15,1
asym,15,1
asym,7,1
asym,7,1
asym,13,1
asym,13,1
asym,16,31
asym,16,1
asym,4,1
asym,4,255
asym,9,1
asym,9,511
asym,6,255
asym,6,1
asym,19,1
asym,19,511
asym,2,127
asym,2,1
asym,11,255
asym,11,1
asym,17,1
asym,17,1
asym,9,1
asym,9,1
asym,1,511
asym,1,255
asym,12,255
asym,12,1
asym,0,15
asym,0,63
asym,10,1
asym,10,63
asym,3,1
asym,3,1
asym,14,1
asym,14,511
asym,7,1
asym,7,1
asym,18,1023
asym,18,31
asym,4,1
asym,4,127
asym,2,1
asym,2,1
asym,16,511
asym,16,1
asym,0,1
asym,0,1
asym,9,1
asym,9,255
asym,4,1
asym,4,1
asym,13,1
asym,13,255
asym,11,511
asym,11,1
asym,6,511
asym,6,1
asym,19,7
asym,19,255
asym,1,255
asym,1,63
asym,17,127
asym,17,1
asym,1,1
asym,1,1
asym,12,511
asym,12,1
asym,10,255
asym,10,1
asym,14,1
asym,14,511
asym,5,2047
asym,5,1
asym,3,255
asym,3,511
asym,18,255
asym,18,1
asym,0,255
asym,0,1
asym,7,511
asym,7,1
asym,16,1
asym,16,1
asym,1,1
asym,1,1
asym,11,1
asym,11,1
asym,6,127
asym,6,1
asym,12,1
asym,12,15
asym,9,1
asym,9,511
asym,19,1
asym,19,1
asym,4,511
asym,4,1
asym,14,1
asym,14,1
asym,17,511
asym,17,1
asym,7,63
asym,7,1
asym,2,511
asym,2,255
asym,5,255
asym,5,1
asym,0,511
asym,0,1
asym,16,255
asym,16,1
asym,18,127
asym,18,63
asym,13,511
asym,13,255
asym,4,1
asym,4,1
asym,1,1
asym,1,63
asym,18,1
asym,18,1
asym,6,511
asym,6,1
asym,19,63
asym,19,1
asym,10,1
asym,10,1023
asym,5,1
asym,5,63
asym,7,127
asym,7,1
asym,17,255
asym,17,1
asym,14,1
asym,14,255
asym,2,1
asym,2,1
asym,0,1
asym,0,63
asym,12,511
asym,12,1
asym,16,1
asym,16,1
asym,14,1
asym,14,1
asym,18,1
asym,18,1
asym,4,255
asym,4,1
asym,9,1
asym,9,511
asym,2,1
asym,2,1
asym,13,255
asym,13,1
asym,19,1
asym,19,127
asym,6,511
asym,6,1
asym,11,1023
asym,11,511
asym,7,1
asym,7,1
asym,17,511
asym,17,1
asym,1,511
asym,1,255
asym,5,511
asym,5,1
asym,18,1
asym,18,127
asym,10,511
asym,10,1
asym,3,2047
asym,3,1
asym,12,63
asym,12,1
asym,16,1
asym,16,1
asym,14,1
asym,14,255
asym,4,255
asym,4,1
asym,6,255
asym,6,1
asym,2,1
asym,2,127
asym,11,7
asym,11,1
asym,9,1
asym,9,255
asym,13,1
asym,13,255
asym,19,511
asym,19,1
asym,17,255
asym,17,1
asym,14,1
asym,14,1
asym,3,255
asym,3,1
asym,12,511
asym,12,63
asym,18,127
asym,18,127
asym,9,1
asym,9,1
asym,16,1
asym,16,1
asym,7,255
asym,7,1
asym,1,1
asym,1,511
asym,14,1
asym,14,1
asym,17,1
asym,17,15
asym,19,127
asym,19,1
asym,16,1
asym,16,1
asym,6,1
asym,6,1
asym,13,511
asym,13,1
asym,10,511
asym,10,511
asym,16,1
asym,16,1
asym,7,1
asym,7,1
asym,2,511
asym,2,127
asym,14,1
asym,14,1
asym,0,2047
asym,0,1
asym,11,255
asym,11,1
asym,17,1
asym,17,1
asym,4,1
asym,4,1023
asym,19,1
asym,19,15
asym,9,1
asym,9,1
asym,13,1
asym,13,1
asym,1,15
asym,1,63
asym,6,1
asym,6,1
asym,12,511
asym,12,1
asym,10,127
asym,10,255
asym,18,1023
asym,18,1
asym,3,511
asym,3,255
asym,0,31
asym,0,255
asym,14,1
asym,14,255
asym,16,511
asym,16,1
asym,5,2047
asym,5,31
asym,7,127
asym,7,1
asym,13,63
asym,13,1
asym,16,1
asym,16,1
asym,1,511
asym,1,1
asym,19,511
asym,19,1
asym,4,255
asym,4,1
asym,10,1
asym,10,1
asym,6,1
asym,6,1
asym,17,255
asym,17,1
asym,2,1023
asym,2,1
asym,0,255
asym,0,1
asym,5,127
asym,5,1
asym,14,1
asym,14,511
asym,12,511
asym,12,1
asym,3,31
asym,3,1
asym,7,1
asym,7,1
asym,1,127
asym,1,1
asym,13,127
asym,13,31
asym,16,127
asym,16,1
asym,18,15
asym,18,511
asym,11,1023
asym,11,1
asym,9,1
asym,9,1023
asym,4,63
asym,4,1
asym,2,1
asym,2,1
asym,0,255
asym,0,1
asym,7,1
asym,7,1
asym,15,8191
asym,15,127
asym,12,1
asym,12,127
asym,10,127
asym,10,31
asym,3,255
asym,3,1
asym,17,1
asym,17,255
asym,5,1
asym,5,1
asym,11,1
asym,11,63
asym,1,511
asym,1,1
asym,7,1
asym,7,1
asym,14,511
asym,14,1
asym,16,511
asym,16,1
asym,18,1
asym,18,255
asym,9,1
asym,9,1
asym,13,511
asym,13,127
asym,4,255
asym,4,1
asym,7,1
asym,7,1
asym,2,1
asym,2,255
asym,5,1
asym,5,1
asym,12,255
asym,12,1
asym,0,255
asym,0,1
asym,18,1
asym,18,1
asym,15,1
asym,15,255
asym,13,1
asym,13,1
asym,10,127
asym,10,511
asym,17,255
asym,17,127
asym,4,1
asym,4,1
asym,6,2047
asym,6,1
asym,18,1
asym,18,1
asym,1,255
asym,1,1
asym,12,255
asym,12,1
asym,14,511
asym,14,1
asym,16,1
asym,16,1
asym,9,1
asym,9,255
asym,11,511
asym,11,127
asym,7,127
asym,7,1
asym,10,255
asym,10,1
asym,1,1
asym,1,1
asym,5,511
asym,5,1
asym,13,127
asym,13,255
asym,15,255
asym,15,1
asym,17,511
asym,17,1
asym,6,1
asym,6,31
asym,4,1
asym,4,1
asym,12,511
asym,12,1
asym,9,1
asym,9,127
asym,14,1
asym,14,1
asym,0,1023
asym,0,1
asym,7,255
asym,7,1
asym,11,255
asym,11,255
asym,1,255
asym,1,1
asym,18,1
asym,18,511
asym,6,255
asym,6,1
asym,16,511
asym,16,1
asym,13,255
asym,13,127
asym,10,1
asym,10,31
asym,5,511
asym,5,255
asym,15,255
asym,15,255
asym,7,1
asym,7,1
asym,17,1
asym,17,127
asym,3,511
asym,3,2047
asym,9,1
asym,9,255
asym,11,255
asym,11,1
asym,0,255
asym,0,1
asym,4,255
asym,4,255
asym,9,1
asym,9,1
asym,6,255
asym,6,1
asym,1,31
asym,1,1
asym,16,511
asym,16,1
asym,9,1
asym,9,1
asym,12,511
asym,12,255
asym,19,4095
asym,19,511
asym,14,1023
asym,14,1
asym,10,255
asym,10,127
asym,7,1
asym,7,1
asym,3,1
asym,3,511
asym,5,511
asym,5,1
asym,15,255
asym,15,1
asym,9,1
asym,9,127
asym,11,511
asym,11,1
asym,14,1
asym,14,1
asym,17,511
asym,17,1
asym,0,1
asym,0,511
asym,6,255
asym,6,1
asym,12,1
asym,12,255
asym,7,127
asym,7,1
asym,4,127
asym,4,511
asym,19,1
asym,19,255
asym,1,511
asym,1,1
asym,10,1
asym,10,1
asym,15,1
asym,15,1
asym,3,1
asym,3,15
asym,1,1
asym,1,1
asym,16,511
asym,16,255
asym,19,1
asym,19,1
asym,6,511
asym,6,1
asym,11,511
asym,11,1
asym,14,511
asym,14,1
asym,4,1
asym,4,63
asym,9,1
asym,9,511
asym,18,2047
asym,18,1
asym,0,511
asym,0,1
asym,7,255
asym,7,1
asym,3,1
asym,3,31
asym,13,2047
asym,13,255
asym,15,511
asym,15,1
asym,10,255
asym,10,255
asym,6,1
asym,6,1
asym,19,1
asym,19,1
asym,9,1
asym,9,1
asym,11,1
asym,11,1
asym,1,255
asym,1,1
asym,7,1
asym,7,1
asym,12,511
asym,12,127
asym,4,1
asym,4,63
asym,16,1
asym,16,511
asym,3,1
asym,3,31
asym,10,1
asym,10,127
asym,8,16383
asym,8,1
asym,6,1
asym,6,1
asym,18,511
asym,18,1
asym,0,511
asym,0,1
asym,13,511
asym,13,1
asym,15,1
asym,15,511
asym,9,31
asym,9,1
asym,4,1
asym,4,1
asym,11,511
asym,11,1
asym,1,1
asym,1,1
asym,16,1
asym,16,255
asym,8,127
asym,8,1
asym,10,127
asym,10,1
asym,13,1
asym,13,1
asym,19,1
asym,19,511
asym,3,1
asym,3,127
asym,6,1
asym,6,1
asym,9,1
asym,9,255
asym,11,1
asym,11,1
asym,15,1
asym,15,511
asym,18,1023
asym,18,1
asym,0,127
asym,0,511
asym,4,1
asym,4,255
asym,1,127
asym,1,1
asym,16,1
asym,16,1
asym,10,1
asym,10,255
asym,13,1
asym,13,1
asym,8,511
asym,8,1
asym,3,1
asym,3,1
asym,19,127
asym,19,1
asym,11,127
asym,11,1
asym,13,1
asym,13,1
asym,4,1
asym,4,1
asym,6,1
asym,6,1
asym,15,1
asym,15,255
asym,0,511
asym,0,1
asym,18,255
asym,18,1
asym,8,1
asym,8,1
asym,11,1
asym,11,1
asym,15,1
asym,15,1
asym,2,8191
asym,2,1
asym,13,1
asym,13,1
asym,17,4095
asym,17,255
asym,11,1
asym,11,1
asym,0,1
asym,0,1
asym,8,1
asym,8,1
asym,3,511
asym,3,1
asym,13,1
asym,13,1
asym,6,1
asym,6,1
asym,19,511
asym,19,255
asym,2,63
asym,2,1
asym,15,1
asym,15,1
asym,17,1
asym,17,1
asym,3,1
asym,3,1
asym,0,1
asym,0,127
asym,18,511
asym,18,1
asym,8,1
asym,8,1
asym,15,1
asym,15,1
asym,11,1
asym,11,1
asym,2,511
asym,2,1
asym,12,4095
asym,12,63
asym,17,1
asym,17,255
asym,8,1
asym,8,1
asym,18,1
asym,18,127
asym,3,1
asym,3,1
asym,15,1
asym,15,1
asym,2,15
asym,2,1
asym,19,1023
asym,19,1
asym,17,1
asym,17,1
asym,12,1
asym,12,1
asym,3,1
asym,3,1
asym,8,1
asym,8,1
asym,2,127
asym,2,1
asym,12,1
asym,12,1
asym,18,511
asym,18,1
asym,17,1
asym,17,7
asym,19,31
asym,19,1
asym,15,1
asym,15,1
asym,3,1
asym,3,1
asym,5,8191
asym,5,1
asym,2,63
asym,2,1
asym,10,4095
asym,10,1
asym,8,1
asym,8,1
asym,2,1
asym,2,1
asym,5,1
asym,5,1
asym,12,1
asym,12,1
asym,19,1
asym,19,1
asym,10,1
asym,10,1
asym,15,1
asym,15,1
asym,2,1
asym,2,1
asym,8,1
asym,8,1
asym,15,1
asym,15,1
asym,19,1
asym,19,1
asym,5,1
asym,5,1
asym,2,1
asym,2,1
asym,15,1
asym,15,1
asym,8,1
asym,8,1
asym,5,1
asym,5,1
asym,2,1
asym,2,1
asym,15,1
asym,15,1
asym,8,1
asym,8,1
asym,5,1
asym,5,1
asym,8,1
asym,8,1
asym,5,1
asym,5,1
asym,5,1
asym,5,1
asym,8,1
asym,8,1
asym,5,1
asym,5,1
asym,8,1
asym,8,1
asym,5,1
asym,5,1
asym,8,1
asym,8,1
asym,8,1
asym,8,1
asym,8,1
asym,8,1
asym,8,1
asym,8,1
asym,8,1
asym,8,1
asym,14,16383
asym,14,1
asym,14,1
asym,14,1
conductor,1,3
conductor,1,2
conductor,11,1
conductor,11,2
conductor,13,2
conductor,13,2
conductor,19,2
conductor,19,1
conductor,8,2
conductor,8,1
conductor,17,1
conductor,17,2
conductor,10,2
conductor,10,1
conductor,4,1
conductor,4,2
conductor,12,1
conductor,12,36
conductor,14,254
conductor,14,2
conductor,16,2
conductor,16,1
conductor,18,2
conductor,18,45
conductor,0,214
conductor,0,72
conductor,7,1
conductor,7,553
conductor,9,336
conductor,9,2
conductor,17,100
conductor,17,2
conductor,3,1
conductor,3,512
conductor,15,430
conductor,15,2
conductor,11,1
conductor,11,218
conductor,13,55
conductor,13,1
conductor,2,355
conductor,2,442
conductor,19,65
conductor,19,259
conductor,6,1
conductor,6,838
conductor,18,2
conductor,18,139
conductor,5,383
conductor,5,463
conductor,14,280
conductor,14,1
conductor,8,53
conductor,8,227
conductor,10,317
conductor,10,1
conductor,1,357
conductor,1,349
conductor,12,1
conductor,12,2
conductor,9,22
conductor,9,2
conductor,7,1
conductor,7,2
conductor,4,82
conductor,4,687
conductor,17,2
conductor,17,519
conductor,3,181
conductor,3,485
conductor,11,1
conductor,11,402
conductor,13,18
conductor,13,2
conductor,0,42
conductor,0,722
conductor,2,47
conductor,2,122
conductor,6,310
conductor,6,400
conductor,8,1
conductor,8,2
conductor,16,1
conductor,16,903
conductor,10,434
conductor,10,190
conductor,5,1
conductor,5,2
conductor,3,172
conductor,3,1
conductor,19,373
conductor,19,657
conductor,1,149
conductor,1,1
conductor,7,1
conductor,7,2
conductor,12,2
conductor,12,1
conductor,15,236
conductor,15,823
conductor,9,2
conductor,9,293
conductor,14,204
conductor,14,347
conductor,18,44
conductor,18,640
conductor,6,141
conductor,6,1
conductor,4,418
conductor,4,2
conductor,0,1
conductor,0,27
conductor,11,1
conductor,11,2
conductor,2,1
conductor,2,2
conductor,13,207
conductor,13,153
conductor,8,2
conductor,8,124
conductor,3,4
conductor,3,2
conductor,1,122
conductor,1,1
conductor,17,95
conductor,17,869
conductor,19,120
conductor,19,1
conductor,10,1
conductor,10,271
conductor,12,52
conductor,12,2
conductor,7,5
conductor,7,598
conductor,16,2
conductor,16,871
conductor,9,144
conductor,9,104
conductor,6,2
conductor,6,452
conductor,18,1
conductor,18,80
conductor,2,1
conductor,2,338
conductor,5,2
conductor,5,599
conductor,7,37
conductor,7,2
conductor,15,2
conductor,15,750
conductor,1,2
conductor,1,445
conductor,8,150
conductor,8,1
conductor,17,1
conductor,17,157
conductor,14,2
conductor,14,993
conductor,4,469
conductor,4,576
conductor,0,1
conductor,0,751
conductor,16,211
conductor,16,199
conductor,7,1
conductor,7,271
conductor,13,32
conductor,13,1308
conductor,15,74
conductor,15,1
conductor,19,368
conductor,19,509
conductor,3,2
conductor,3,451
conductor,6,166
conductor,6,439
conductor,18,1
conductor,18,631
conductor,5,2
conductor,5,240
conductor,12,1
conductor,12,1617
conductor,2,2
conductor,2,594
conductor,14,2
conductor,14,1
conductor,17,2
conductor,17,466
conductor,4,85
conductor,4,99
conductor,11,184
conductor,11,1864
conductor,13,24
conductor,13,145
conductor,1,1
conductor,1,895
conductor,3,144
conductor,3,1
conductor,16,458
conductor,16,435
conductor,10,1
conductor,10,1590
conductor,12,2
conductor,12,1
conductor,0,2
conductor,0,882
conductor,2,99
conductor,2,101
conductor,15,236
conductor,15,576
conductor,9,2
conductor,9,1529
conductor,11,44
conductor,11,105
conductor,8,2
conductor,8,1459
conductor,19,2
conductor,19,985
conductor,1,219
conductor,1,1
conductor,14,1
conductor,14,741
conductor,10,63
conductor,10,447
conductor,7,52
conductor,7,1732
conductor,18,95
conductor,18,1245
conductor,9,280
conductor,9,92
conductor,17,396
conductor,17,842
conductor,6,2
conductor,6,1623
conductor,13,260
conductor,13,885
conductor,5,1
conductor,5,1498
conductor,12,313
conductor,12,592
conductor,4,465
conductor,4,1379
conductor,8,1
conductor,8,217
conductor,6,1
conductor,6,2
conductor,16,76
conductor,16,864
conductor,15,298
conductor,15,703
conductor,11,2
conductor,11,513
conductor,7,190
conductor,7,235
conductor,14,128
conductor,14,658
conductor,16,53
conductor,16,1
conductor,3,2
conductor,3,1669
conductor,5,208
conductor,5,2
conductor,10,83
conductor,10,685
conductor,9,2
conductor,9,348
conductor,11,2
conductor,11,1
conductor,13,306
conductor,13,628
conductor,2,79
conductor,2,1952
conductor,15,62
conductor,15,31
conductor,12,111
conductor,12,34
conductor,4,2
conductor,4,79
conductor,6,392
conductor,6,2
conductor,8,438
conductor,8,145
conductor,10,2
conductor,10,1
conductor,1,2
conductor,1,2174
conductor,3,76
conductor,3,36
conductor,14,2
conductor,14,107
conductor,13,2
conductor,13,1
conductor,5,1
conductor,5,84
conductor,7,476
conductor,7,1
conductor,0,2
conductor,0,2166
conductor,2,77
conductor,2,2
conductor,9,293
conductor,9,129
conductor,11,116
conductor,11,2
conductor,12,136
conductor,12,1
conductor,19,2
conductor,19,2165
conductor,1,129
conductor,1,2
conductor,4,2
conductor,4,470
conductor,6,198
conductor,6,1
conductor,18,192
conductor,18,2153
conductor,17,468
conductor,17,1300
conductor,8,207
conductor,8,391
conductor,11,1
conductor,11,287
conductor,0,2
conductor,0,235
conductor,16,1
conductor,16,1145
conductor,18,5
conductor,18,2
conductor,3,111
conductor,3,711
conductor,7,1
conductor,7,439
conductor,10,132
conductor,10,521
conductor,19,181
conductor,19,20
conductor,15,2
conductor,15,1256
conductor,17,282
conductor,17,1
conductor,9,86
conductor,9,296
conductor,2,2
conductor,2,659
conductor,6,2
conductor,6,556
conductor,18,2
conductor,18,1
conductor,5,40
conductor,5,674
conductor,14,1
conductor,14,1352
conductor,1,161
conductor,1,638
conductor,8,2
conductor,8,335
conductor,13,260
conductor,13,1525
conductor,17,1
conductor,17,481
conductor,4,2
conductor,4,740
conductor,12,262
conductor,12,1169
conductor,16,1
conductor,16,465
conductor,7,122
conductor,7,626
conductor,0,106
conductor,0,735
conductor,11,2
conductor,11,999
conductor,15,152
conductor,15,417
conductor,6,2
conductor,6,513
conductor,3,2
conductor,3,970
conductor,19,268
conductor,19,719
conductor,10,242
conductor,10,1159
conductor,14,2
conductor,14,725
conductor,18,2
conductor,18,687
conductor,5,239
conductor,5,499
conductor,2,212
conductor,2,959
conductor,17,2
conductor,17,777
conductor,13,2
conductor,13,799
conductor,19,2
conductor,19,1
conductor,4,430
conductor,4,97
conductor,1,76
conductor,1,526
conductor,16,2
conductor,16,358
conductor,9,273
conductor,9,1209
conductor,3,2
conductor,3,127
conductor,18,2
conductor,18,326
conductor,0,367
conductor,0,2
conductor,15,4
conductor,15,426
conductor,5,2
conductor,5,1
conductor,12,2
conductor,12,875
conductor,8,239
conductor,8,1253
conductor,17,56
conductor,17,205
conductor,19,1
conductor,19,1
conductor,2,1
conductor,2,561
conductor,11,234
conductor,11,779
conductor,14,29
conductor,14,406
conductor,16,259
conductor,16,1
conductor,4,58
conductor,4,118
conductor,13,1
conductor,13,8
conductor,1,205
conductor,1,319
conductor,7,225
conductor,7,1257
conductor,15,2
conductor,15,179
conductor,10,277
conductor,10,708
conductor,12,295
conductor,12,36
conductor,18,2
conductor,18,406
conductor,0,62
conductor,0,1
conductor,3,2
conductor,3,347
conductor,6,557
conductor,6,515
conductor,14,2
conductor,14,6
conductor,9,2
conductor,9,398
conductor,17,226
conductor,17,432
conductor,5,1
conductor,5,181
conductor,19,1
conductor,19,29
conductor,8,120
conductor,8,385
conductor,11,2
conductor,11,333
conductor,2,2
conductor,2,348
conductor,4,2
conductor,4,1
conductor,13,7
conductor,13,166
conductor,16,2
conductor,16,519
conductor,18,188
conductor,18,1
conductor,1,138
conductor,1,311
conductor,7,2
conductor,7,309
conductor,10,1
conductor,10,340
conductor,9,128
conductor,9,238
conductor,15,424
conductor,15,402
conductor,3,108
conductor,3,352
conductor,0,1
conductor,0,245
conductor,12,35
conductor,12,301
conductor,6,2
conductor,6,541
conductor,17,234
conductor,17,153
conductor,11,2
conductor,11,83
conductor,8,1
conductor,8,26
conductor,19,251
conductor,19,233
conductor,14,323
conductor,14,263
conductor,16,248
conductor,16,2
conductor,10,70
conductor,10,140
conductor,2,2
conductor,2,394
conductor,18,2
conductor,18,1
conductor,5,2
conductor,5,645
conductor,7,206
conductor,7,83
conductor,1,2
conductor,1,389
conductor,13,16
conductor,13,616
conductor,15,35
conductor,15,1
conductor,9,2
conductor,9,1
conductor,4,281
conductor,4,395
conductor,17,2
conductor,17,127
conductor,0,2
conductor,0,69
conductor,3,92
conductor,3,250
conductor,6,2
conductor,6,176
conductor,8,322
conductor,8,2
conductor,19,51
conductor,19,292
conductor,12,55
conductor,12,831
conductor,14,175
conductor,14,1
conductor,16,303
conductor,16,304
conductor,5,2
conductor,5,404
conductor,2,1
conductor,2,520
conductor,18,158
conductor,18,172
conductor,7,1
conductor,7,2
conductor,1,1
conductor,1,276
conductor,15,1
conductor,15,1
conductor,11,2
conductor,11,1012
conductor,13,228
conductor,13,1
conductor,4,295
conductor,4,360
conductor,0,215
conductor,0,297
conductor,15,1
conductor,15,2
conductor,10,146
conductor,10,1050
conductor,12,1
conductor,12,101
conductor,6,274
conductor,6,354
conductor,14,156
conductor,14,77
conductor,3,1
conductor,3,625
conductor,19,1
conductor,19,590
conductor,5,169
conductor,5,189
conductor,2,2
conductor,2,660
conductor,9,12
conductor,9,1210
conductor,11,103
conductor,11,47
conductor,18,1
conductor,18,762
conductor,8,341
conductor,8,555
conductor,4,84
conductor,4,216
conductor,17,1
conductor,17,919
conductor,1,89
conductor,1,519
conductor,7,2
conductor,7,196
conductor,10,69
conductor,10,293
conductor,3,108
conductor,3,174
conductor,0,2
conductor,0,395
conductor,6,2
conductor,6,240
conductor,16,30
