method,id,time
asym,19,1
asym,19,1
asym,15,1
asym,15,1
asym,36,1
asym,36,1
asym,9,1
asym,9,1
asym,47,1
asym,47,1
asym,17,1
asym,17,1
asym,27,1
asym,27,1
asym,6,1
asym,6,1
asym,49,1
asym,49,1
asym,13,1
asym,13,1
asym,33,1
asym,33,1
asym,21,1
asym,21,1
asym,45,1
asym,45,1
asym,39,1
asym,39,1
asym,25,1
asym,25,1
asym,3,1
asym,3,1
asym,29,1
asym,29,1
asym,43,1
asym,43,1
asym,37,1
asym,37,1
asym,23,1
asym,23,1
asym,1,1
asym,1,1
asym,41,1
asym,41,1
asym,48,127
asym,48,1
asym,20,1
asym,20,1
asym,44,63
asym,44,1
asym,46,1
asym,46,1
asym,12,1
asym,12,1
asym,34,1
asym,34,255
asym,18,255
asym,18,127
asym,32,255
asym,32,1
asym,5,1
asym,5,127
asym,14,1
asym,14,1
asym,7,1
asym,7,1
asym,42,1
asym,42,15
asym,10,1
asym,10,255
asym,0,127
asym,0,1
asym,28,127
asym,28,63
asym,30,1
asym,30,255
asym,35,255
asym,35,1
asym,21,7
asym,21,1
asym,40,63
asym,40,63
asym,2,1
asym,2,255
asym,8,511
asym,8,63
asym,16,511
asym,16,1
asym,38,255
asym,38,127
asym,26,511
asym,26,1
asym,3,127
asym,3,1
asym,1,63
asym,1,1
asym,33,255
asym,33,1
asym,45,1
asym,45,1
asym,19,127
asym,19,1
asym,36,1
asym,36,127
asym,22,255
asym,22,127
asym,31,511
asym,31,1
asym,47,127
asym,47,255
asym,49,127
asym,49,1
asym,24,127
asym,24,511
asym,17,255
asym,17,1
asym,11,511
asym,11,1
asym,43,255
asym,43,1
asym,27,1
asym,27,1
asym,37,63
asym,37,127
asym,39,127
asym,39,1
asym,29,127
asym,29,1
asym,20,63
asym,20,255
asym,41,1
asym,41,255
asym,15,511
asym,15,1
asym,7,1
asym,7,255
asym,9,255
asym,9,1
asym,48,63
asym,48,1
asym,0,1
asym,0,255
asym,26,7
asym,26,1
asym,46,511
asym,46,1
asym,13,63
asym,13,511
asym,2,255
asym,2,1
asym,44,1
asym,44,255
asym,18,1
asym,18,127
asym,4,1023
asym,4,1
asym,32,511
asym,32,127
asym,34,1
asym,34,511
asym,11,1
asym,11,1
asym,40,1
asym,40,63
asym,36,127
asym,36,1
asym,5,31
asym,5,1
asym,16,511
asym,16,1
asym,23,511
asym,23,127
asym,42,1
asym,42,1
asym,14,127
asym,14,127
asym,28,63
asym,28,1
asym,38,511
asym,38,1
asym,21,511
asym,21,1
asym,19,255
asym,19,1
asym,11,1
asym,11,1
asym,49,15
asym,49,1
asym,1,1
asym,1,255
asym,3,63
asym,3,1
asym,47,511
asym,47,1
asym,30,15
asym,30,511
asym,24,1
asym,24,255
asym,33,511
asym,33,1
asym,35,1023
asym,35,1
asym,8,511
asym,8,1
asym,12,1023
asym,12,127
asym,43,255
asym,43,1
asym,10,1023
asym,10,1
asym,18,1
asym,18,1
asym,15,127
asym,15,63
asym,2,1
asym,2,1
asym,41,511
asym,41,1
asym,6,511
asym,6,511
asym,27,1
asym,27,255
asym,46,1
asym,46,1
asym,0,63
asym,0,63
asym,4,511
asym,4,1
asym,29,1
asym,29,15
asym,31,255
asym,31,1
asym,48,1
asym,48,1
asym,39,511
asym,39,1
asym,37,1
asym,37,511
asym,22,63
asym,22,511
asym,9,255
asym,9,31
asym,24,1
asym,24,1
asym,13,511
asym,13,1
asym,11,1
asym,11,1
asym,20,511
asym,20,1
asym,49,1
asym,49,1
asym,42,255
asym,42,15
asym,1,255
asym,1,127
asym,34,255
asym,34,1
asym,47,1
asym,47,1
asym,19,1
asym,19,63
asym,27,1
asym,27,1
asym,17,255
asym,17,511
asym,8,1
asym,8,1
asym,32,511
asym,32,1
asym,14,63
asym,14,127
asym,21,127
asym,21,63
asym,45,1023
asym,45,511
asym,5,127
asym,5,1
asym,30,1
asym,30,511
asym,46,15
asym,46,1
asym,43,1
asym,43,1
asym,38,255
asym,38,1
asym,12,127
asym,12,127
asym,10,127
asym,10,1
asym,15,1
asym,15,1
asym,18,1
asym,18,1
asym,25,2047
asym,25,1
asym,36,1023
asym,36,1
asym,22,1
asym,22,127
asym,33,255
asym,33,15
asym,40,63
asym,40,511
asym,0,511
asym,0,7
asym,32,63
asym,32,1
asym,2,1
asym,2,511
asym,48,255
asym,48,1
asym,35,511
asym,35,1
asym,20,1
asym,20,1
asym,28,127
asym,28,511
asym,17,1
asym,17,1
asym,37,63
asym,37,127
asym,26,1023
asym,26,63
asym,42,1
asym,42,1
asym,4,127
asym,4,1
asym,14,255
asym,14,1
asym,7,1023
asym,7,511
asym,9,511
asym,9,127
asym,30,1
asym,30,1
asym,24,511
asym,24,1
asym,45,1
asym,45,511
asym,11,255
asym,11,1
asym,21,255
asym,21,1
asym,13,255
asym,13,127
asym,49,127
asym,49,1
asym,1,1
asym,1,63
asym,5,63
asym,5,1
asym,39,1
asym,39,255
asym,47,1
asym,47,255
asym,34,127
asym,34,1
asym,8,127
asym,8,127
asym,19,1
asym,19,511
asym,36,255
asym,36,255
asym,10,1
asym,10,1
asym,15,1
asym,15,1
asym,37,1
asym,37,1
asym,2,1
asym,2,1
asym,41,1023
asym,41,255
asym,17,1
asym,17,1
asym,27,511
asym,27,1
asym,29,1023
asym,29,127
asym,43,511
asym,43,1
asym,24,1
asym,24,1
asym,14,127
asym,14,1
asym,12,511
asym,12,1
asym,4,1
asym,4,1
asym,46,511
asym,46,31
asym,6,1023
asym,6,1
asym,22,1
asym,22,255
asym,35,1
asym,35,1
asym,38,255
asym,38,127
asym,20,511
asym,20,1
asym,18,511
asym,18,63
asym,9,511
asym,9,15
asym,49,1
asym,49,1
asym,40,511
asym,40,1
asym,33,511
asym,33,511
asym,24,1
asym,24,1
asym,16,2047
asym,16,1
asym,30,1
asym,30,127
asym,36,1
asym,36,1
asym,42,255
asym,42,1
asym,5,63
asym,5,1
asym,28,127
asym,28,127
asym,44,2047
asym,44,255
asym,26,511
asym,26,1
asym,39,1
asym,39,1
asym,34,1
asym,34,1
asym,13,511
asym,13,1
asym,7,511
asym,7,1
asym,41,255
asym,41,127
asym,3,2047
asym,3,511
asym,31,2047
asym,31,1
asym,29,255
asym,29,1
asym,0,63
asym,0,1023
asym,11,255
asym,11,511
asym,37,255
asym,37,1
asym,17,255
asym,17,1
asym,47,511
asym,47,1
asym,19,1
asym,19,127
asym,6,127
asym,6,1
asym,8,511
asym,8,1
asym,22,1
asym,22,1
asym,15,1
asym,15,511
asym,26,1
asym,26,1
asym,28,1
asym,28,1
asym,0,1
asym,0,1
asym,35,127
asym,35,1
asym,45,511
asym,45,1
asym,30,1
asym,30,1
asym,10,511
asym,10,1
asym,24,1
asym,24,1
asym,21,511
asym,21,255
asym,40,127
asym,40,1
asym,43,1
asym,43,511
asym,18,511
asym,18,1
asym,33,1
asym,33,511
asym,16,3
asym,16,255
asym,5,1
asym,5,255
asym,38,511
asym,38,1
asym,7,1
asym,7,127
asym,12,511
asym,12,1
asym,42,255
asym,42,1
asym,36,255
asym,36,127
asym,3,1
asym,3,1
asym,31,255
asym,31,1
asym,20,511
asym,20,1
asym,33,1
asym,33,1
asym,9,511
asym,9,1
asym,24,1
asym,24,1
asym,22,1
asym,22,1
asym,45,1
asym,45,1
asym,27,511
asym,27,63
asym,11,255
asym,11,127
asym,13,1
asym,13,1
asym,29,511
asym,29,1
asym,39,1
asym,39,63
asym,0,1
asym,0,1
asym,41,63
asym,41,63
asym,37,1
asym,37,1
asym,43,1
asym,43,1
asym,48,1023
asym,48,1023
asym,5,1
asym,5,1
asym,45,1
asym,45,1
asym,38,255
asym,38,63
asym,16,1
asym,16,1
asym,26,255
asym,26,1
asym,34,1
asym,34,511
asym,21,255
asym,21,63
asym,28,255
asym,28,1
asym,19,255
asym,19,511
asym,8,511
asym,8,1
asym,14,1023
asym,14,511
asym,12,255
asym,12,127
asym,10,511
asym,10,1
asym,30,127
asym,30,255
asym,36,1
asym,36,1
asym,23,4095
asym,23,1
asym,6,255
asym,6,255
asym,3,1
asym,3,1
asym,1,2047
asym,1,1
asym,49,1023
asym,49,1
asym,40,63
asym,40,1
asym,37,1
asym,37,1
asym,42,1
asym,42,255
asym,47,1
asym,47,511
asym,18,255
asym,18,1
asym,35,511
asym,35,1
asym,27,255
asym,27,1
asym,24,1
asym,24,63
asym,31,1
asym,31,1
asym,43,1
asym,43,1
asym,29,1
asym,29,1
asym,0,255
asym,0,1
asym,2,2047
asym,2,1
asym,33,1
asym,33,1
asym,13,127
asym,13,63
asym,22,63
asym,22,255
asym,42,1
asym,42,1
asym,11,127
asym,11,1
asym,20,511
asym,20,1
asym,9,127
asym,9,1
asym,45,1
asym,45,1
asym,26,255
asym,26,1
asym,5,1
asym,5,63
asym,16,1
asym,16,1
asym,39,1
asym,39,511
asym,30,255
asym,30,7
asym,28,255
asym,28,1
asym,41,255
asym,41,63
asym,7,511
asym,7,1
asym,23,31
asym,23,1
asym,48,3
asym,48,511
asym,34,1
asym,34,127
asym,36,511
asym,36,1
asym,3,127
asym,3,1
asym,1,511
asym,1,1
asym,43,1
asym,43,1
asym,19,1
asym,19,255
asym,24,1
asym,24,63
asym,46,2047
asym,46,255
asym,12,255
asym,12,1
asym,31,1
asym,31,1
asym,21,511
asym,21,1
asym,10,255
asym,10,1
asym,33,1
asym,33,1
asym,40,127
asym,40,15
asym,14,1
asym,14,511
asym,27,255
asym,27,15
asym,5,1
asym,5,1
asym,35,63
asym,35,255
asym,29,511
asym,29,1
asym,20,127
